food,characteristic,p_values,significant,food_name
POPCORNFREQ,never_smoked,0.0914755,not significant,popcorn
DONUTSFREQ,dog,0.0932206,not significant,donuts
GROUP_ICE_TEA_HOME_SUGAR_TOTAL_GRAMS,never_smoked,0.0936395,not significant,ice tea home sugar
COFFEEFREQ,right_hand,0.095247,not significant,coffee
BUTTERQUAN,right_hand,0.0964252,not significant,butter
GROUP_PEANUTS_OTHER_NUTS_SEEDS_TOTAL_GRAMS,left_hand,0.0965127,not significant,peanuts other nuts seeds
GROUP_WALNUTS_FLAX_SEEDS_TOTAL_GRAMS,never_smoked,0.0965388,not significant,walnuts flax seeds
GROUP_COOK_FAT_CORN_VEGETABLE_OIL_BLENDS_TOTAL_GRAMS,diabetes,0.0988465,not significant,cook fat corn vegetable oil blends
EGGSQUAN,cancer,0.0996338,not significant,eggs
CORNFREQ,smoke_often,0.0999783,not significant,corn
